(1072, 450)
(1126, 452)
(1170, 454)
(1232, 456)
(1278, 448)
(1340, 448)
(1390, 450)
(1446, 445)
(1494, 452)
(1066, 498)
(1122, 505)
(1175, 503)
(1223, 504)
(1284, 505)
(1332, 506)
(1389, 501)
(1443, 506)
(1499, 508)
(1069, 554)
(1114, 559)
(1170, 556)
(1231, 560)
(1276, 556)
(1334, 556)
(1382, 564)
(1450, 556)
(1495, 561)
(1061, 606)
(1122, 606)
(1170, 610)
(1236, 614)
(1283, 614)
(1332, 621)
(1391, 616)
(1445, 616)
(1499, 609)
(1059, 666)
(1124, 668)
(1178, 667)
(1224, 669)
(1281, 669)
(1333, 668)
(1396, 669)
(1441, 673)
(1502, 666)
(1059, 714)
(1122, 713)
(1170, 724)
(1221, 719)
(1286, 719)
(1336, 718)
(1388, 722)
(1440, 720)
(1507, 718)
(1067, 816)
(1124, 814)
(1177, 812)
(1221, 813)
(1285, 813)
(1341, 812)
(1396, 813)
(1442, 815)
(1491, 814)
(1067, 873)
(1121, 867)
(1178, 868)
(1226, 865)
(1283, 862)
(1333, 864)
(1393, 861)
(1450, 871)
(1498, 872)
(1059, 919)
(1113, 924)
(1178, 926)
(1227, 925)
(1287, 923)
(1339, 929)
(1387, 927)
(1449, 924)
(1489, 920)
(1061, 984)
(1115, 985)
(1166, 985)
(1219, 980)
(1282, 982)
(1337, 985)
(1384, 988)
(1447, 987)
(1497, 986)
